티커,종목명,MA기간,돌파횟수,상승(10%↑),하락(5%↓),무승부,승률(%),목표달성률(%),평균최대수익률(%),평균최대손실률(%),최고수익률(%),최대손실률(%)
009540 KS,HD KOREA SHIPBUILDING & OFFS,19,9,2,3,4,40.0,22.22222222222222,7.141221311847701,-3.2669396028470583,15.290933694181327,-9.553981861100757
009540 KS,HD KOREA SHIPBUILDING & OFFS,20,9,2,3,4,40.0,22.22222222222222,7.141221311847701,-3.2669396028470583,15.290933694181327,-9.553981861100757
010140 KS,SAMSUNG HEAVY INDUSTRIES,10,17,5,3,9,62.5,29.411764705882355,7.018969676538321,-3.903127337865488,17.08229426433915,-11.201629327902241
010140 KS,SAMSUNG HEAVY INDUSTRIES,11,14,4,2,8,66.66666666666666,28.57142857142857,6.601707305341809,-3.867655119129363,14.503311258278146,-11.201629327902241
010140 KS,SAMSUNG HEAVY INDUSTRIES,12,13,5,1,7,83.33333333333334,38.46153846153847,8.708971979664744,-3.004326274269561,20.362903225806452,-11.201629327902241
010140 KS,SAMSUNG HEAVY INDUSTRIES,13,13,5,1,7,83.33333333333334,38.46153846153847,8.56010706946982,-3.0231278124627017,20.362903225806452,-11.201629327902241
010140 KS,SAMSUNG HEAVY INDUSTRIES,14,12,4,1,7,80.0,33.33333333333333,8.568482631278114,-3.005913084984906,20.362903225806452,-11.201629327902241
010140 KS,SAMSUNG HEAVY INDUSTRIES,15,14,6,1,7,85.71428571428571,42.857142857142854,9.540064129668266,-2.6512121700520668,20.362903225806452,-11.201629327902241
010140 KS,SAMSUNG HEAVY INDUSTRIES,16,13,5,1,7,83.33333333333334,38.46153846153847,9.481114702316843,-2.6890920005746066,20.362903225806452,-11.201629327902241
010140 KS,SAMSUNG HEAVY INDUSTRIES,17,13,5,1,7,83.33333333333334,38.46153846153847,9.481114702316843,-2.6890920005746066,20.362903225806452,-11.201629327902241
010140 KS,SAMSUNG HEAVY INDUSTRIES,18,12,5,1,6,83.33333333333334,41.66666666666667,9.522984623731388,-2.6793633223583684,20.362903225806452,-11.201629327902241
010140 KS,SAMSUNG HEAVY INDUSTRIES,19,12,5,1,6,83.33333333333334,41.66666666666667,8.668772650794333,-2.964811703414307,14.960629921259844,-11.201629327902241
010140 KS,SAMSUNG HEAVY INDUSTRIES,20,12,5,1,6,83.33333333333334,41.66666666666667,8.668772650794333,-2.964811703414307,14.960629921259844,-11.201629327902241
010780 KS,IS DONGSEO CO LTD,10,12,1,6,5,14.285714285714285,8.333333333333332,4.680120143432353,-4.062237861374843,31.210060385765377,-8.610804851157662
010780 KS,IS DONGSEO CO LTD,11,11,1,5,5,16.666666666666664,9.090909090909092,4.828044469474639,-4.139702937492473,31.210060385765377,-8.610804851157662
010780 KS,IS DONGSEO CO LTD,12,11,0,5,6,0.0,0.0,2.918960731118933,-4.393871236146032,5.749534450651769,-8.48519944135981
010780 KS,IS DONGSEO CO LTD,13,11,2,5,4,28.57142857142857,18.181818181818183,6.497282333593409,-3.684436449464526,31.210060385765377,-8.48519944135981
010780 KS,IS DONGSEO CO LTD,14,10,2,4,4,33.33333333333333,20.0,6.8282968880639485,-3.3325819681242663,31.210060385765377,-8.48519944135981
010780 KS,IS DONGSEO CO LTD,15,12,2,4,6,33.33333333333333,16.666666666666664,5.9538776427434685,-3.162699155798164,31.210060385765377,-8.48519944135981
010780 KS,IS DONGSEO CO LTD,16,11,2,3,6,40.0,18.181818181818183,6.334711439142608,-2.9742814319937194,31.210060385765377,-8.48519944135981
010780 KS,IS DONGSEO CO LTD,17,11,2,3,6,40.0,18.181818181818183,5.106753622179264,-3.8338259753273864,19.491964748574393,-8.48519944135981
010780 KS,IS DONGSEO CO LTD,18,11,2,3,6,40.0,18.181818181818183,5.106753622179264,-3.8338259753273864,19.491964748574393,-8.48519944135981
010780 KS,IS DONGSEO CO LTD,19,9,1,3,5,25.0,11.11111111111111,3.7457255029349596,-3.5937469606454044,16.427432216905903,-8.48519944135981
010780 KS,IS DONGSEO CO LTD,20,9,1,3,5,25.0,11.11111111111111,3.7457255029349596,-3.5937469606454044,16.427432216905903,-8.48519944135981
010950 KS,S-OIL CORP,10,18,0,6,12,0.0,0.0,2.854623132322363,-3.321029025743034,8.561643835616438,-6.430868167202572
010950 KS,S-OIL CORP,11,18,0,6,12,0.0,0.0,2.854623132322363,-3.321029025743034,8.561643835616438,-6.430868167202572
010950 KS,S-OIL CORP,12,17,0,6,11,0.0,0.0,2.929397304551761,-3.2913743637201125,8.561643835616438,-6.430868167202572
010950 KS,S-OIL CORP,13,18,0,6,12,0.0,0.0,2.755284788268133,-3.348431540140183,8.561643835616438,-6.430868167202572
010950 KS,S-OIL CORP,14,17,0,6,11,0.0,0.0,2.6976994254798115,-3.380732682829063,8.561643835616438,-6.430868167202572
010950 KS,S-OIL CORP,15,16,0,7,9,0.0,0.0,2.6655033195150795,-3.588335492379458,8.561643835616438,-7.259025191538451
010950 KS,S-OIL CORP,16,17,0,6,11,0.0,0.0,2.6389591661588994,-3.468228781243718,8.561643835616438,-7.259025191538451
010950 KS,S-OIL CORP,17,16,0,6,10,0.0,0.0,2.733255773281725,-3.5046918183482103,8.561643835616438,-7.259025191538451
010950 KS,S-OIL CORP,18,18,0,7,11,0.0,0.0,2.5511762592076677,-3.708388261442691,8.561643835616438,-8.39080459770115
010950 KS,S-OIL CORP,19,18,0,7,11,0.0,0.0,2.5511762592076677,-3.708388261442691,8.561643835616438,-8.39080459770115
010950 KS,S-OIL CORP,20,18,0,7,11,0.0,0.0,2.5393238701658563,-3.663127143883624,8.561643835616438,-8.39080459770115
011210 KS,HYUNDAI WIA CORP,10,12,0,2,10,0.0,0.0,4.339323648076044,-3.058543436716029,9.931506849315069,-5.590763227065293
011210 KS,HYUNDAI WIA CORP,11,10,0,0,10,0.0,0.0,4.50321043720757,-2.5582402993978985,9.931506849315069,-4.795897662922178
011210 KS,HYUNDAI WIA CORP,12,9,0,1,8,0.0,0.0,4.577814754919556,-3.0396042121301483,9.931506849315069,-6.426728716677626
011210 KS,HYUNDAI WIA CORP,13,11,1,1,9,50.0,9.090909090909092,4.854228451366921,-2.8768165956852365,11.137011137011136,-6.426728716677626
011210 KS,HYUNDAI WIA CORP,14,11,1,2,8,33.33333333333333,9.090909090909092,4.596520678596929,-3.4140468416850136,11.137011137011136,-6.426728716677626
011210 KS,HYUNDAI WIA CORP,15,12,1,2,9,33.33333333333333,8.333333333333332,4.345229594379201,-3.393047549541961,11.137011137011136,-6.426728716677626
011210 KS,HYUNDAI WIA CORP,16,12,2,2,8,50.0,16.666666666666664,4.963669945623987,-3.451606240703177,12.76595744680851,-6.426728716677626
011210 KS,HYUNDAI WIA CORP,17,13,3,2,8,60.0,23.076923076923077,5.729823919102748,-3.3576502732394022,14.923671600847896,-6.426728716677626
011210 KS,HYUNDAI WIA CORP,18,11,2,1,8,66.66666666666666,18.181818181818183,5.403646176338928,-3.1811405610691366,12.76595744680851,-5.832871780670175
011210 KS,HYUNDAI WIA CORP,19,11,2,1,8,66.66666666666666,18.181818181818183,5.3318080929141365,-3.390026380721901,12.76595744680851,-5.832871780670175
011210 KS,HYUNDAI WIA CORP,20,12,2,1,9,66.66666666666666,16.666666666666664,4.942200322175993,-3.3539304030197115,12.76595744680851,-5.832871780670175
012450 KS,HANWHA AEROSPACE CO LTD,10,13,4,8,1,33.33333333333333,30.76923076923077,6.881142287598957,-6.189644263178636,15.186265594878694,-13.185755534167468
012450 KS,HANWHA AEROSPACE CO LTD,11,10,3,6,1,33.33333333333333,30.0,6.57276887274409,-5.924018322040585,14.984049874504088,-13.185755534167468
012450 KS,HANWHA AEROSPACE CO LTD,12,10,3,6,1,33.33333333333333,30.0,7.395776255837347,-5.479882030942266,14.984049874504088,-8.744392623184279
012450 KS,HANWHA AEROSPACE CO LTD,13,11,3,6,2,33.33333333333333,27.27272727272727,7.574692026525872,-5.311077401658407,14.984049874504088,-8.744392623184279
012450 KS,HANWHA AEROSPACE CO LTD,14,12,3,7,2,30.0,25.0,7.136379363171172,-5.683435495434534,14.984049874504088,-9.773529726452441
012450 KS,HANWHA AEROSPACE CO LTD,15,12,3,6,3,33.33333333333333,25.0,7.369758150283682,-5.4131575205976254,14.984049874504088,-13.185755534167468
012450 KS,HANWHA AEROSPACE CO LTD,16,10,2,5,3,28.57142857142857,20.0,6.592346257144823,-5.336476503511476,14.134703495221887,-13.185755534167468
012450 KS,HANWHA AEROSPACE CO LTD,17,11,2,6,3,25.0,18.181818181818183,6.062570993371707,-5.424956042649925,14.134703495221887,-13.185755534167468
012450 KS,HANWHA AEROSPACE CO LTD,18,11,2,6,3,25.0,18.181818181818183,6.062570993371707,-5.424956042649925,14.134703495221887,-13.185755534167468
012450 KS,HANWHA AEROSPACE CO LTD,19,11,2,6,3,25.0,18.181818181818183,6.062570993371707,-5.424956042649925,14.134703495221887,-13.185755534167468
012450 KS,HANWHA AEROSPACE CO LTD,20,12,3,5,4,37.5,25.0,7.045805536670774,-4.917400454341046,14.984049874504088,-13.185755534167468
012630 KS,HDC HOLDINGS CO LTD,10,9,2,2,5,50.0,22.22222222222222,6.010444392567766,-2.877331354554462,14.66992665036675,-14.499732477260569
012630 KS,HDC HOLDINGS CO LTD,11,10,2,2,6,50.0,20.0,5.737355056783457,-2.7035933085413175,14.66992665036675,-14.499732477260569
012630 KS,HDC HOLDINGS CO LTD,12,10,2,2,6,50.0,20.0,5.737355056783457,-2.7035933085413175,14.66992665036675,-14.499732477260569
012630 KS,HDC HOLDINGS CO LTD,13,8,1,1,6,50.0,12.5,5.118172769903257,-2.792946457138803,13.126323218066338,-14.499732477260569
012630 KS,HDC HOLDINGS CO LTD,14,8,1,1,6,50.0,12.5,5.118172769903257,-2.792946457138803,13.126323218066338,-14.499732477260569
012630 KS,HDC HOLDINGS CO LTD,15,9,1,1,7,50.0,11.11111111111111,4.738794483029153,-2.8197800120883927,13.126323218066338,-14.499732477260569
012630 KS,HDC HOLDINGS CO LTD,16,9,1,1,7,50.0,11.11111111111111,4.738794483029153,-2.8197800120883927,13.126323218066338,-14.499732477260569
012630 KS,HDC HOLDINGS CO LTD,17,9,1,1,7,50.0,11.11111111111111,4.738794483029153,-2.8197800120883927,13.126323218066338,-14.499732477260569
012630 KS,HDC HOLDINGS CO LTD,18,9,1,1,7,50.0,11.11111111111111,4.738794483029153,-2.8197800120883927,13.126323218066338,-14.499732477260569
012630 KS,HDC HOLDINGS CO LTD,19,10,2,1,7,66.66666666666666,20.0,6.7540373152963795,-2.6248237663184133,24.891222805701425,-14.499732477260569
012630 KS,HDC HOLDINGS CO LTD,20,9,2,1,6,66.66666666666666,22.22222222222222,6.922455044053315,-2.818519316181057,24.891222805701425,-14.499732477260569
015760 KS,KOREA ELECTRIC POWER CORP,10,19,2,4,13,33.33333333333333,10.526315789473683,4.992473477375644,-3.2287467605637548,20.674486803519063,-12.60229132569558
015760 KS,KOREA ELECTRIC POWER CORP,11,20,3,4,13,42.857142857142854,15.0,5.463967155867572,-3.087298289495741,20.674486803519063,-12.60229132569558
015760 KS,KOREA ELECTRIC POWER CORP,12,19,3,4,12,42.857142857142854,15.789473684210526,5.713517262294133,-3.0565688322609046,20.674486803519063,-12.60229132569558
015760 KS,KOREA ELECTRIC POWER CORP,13,17,3,3,11,50.0,17.647058823529413,5.799636263232367,-2.6686229349641453,20.674486803519063,-11.894380832076932
015760 KS,KOREA ELECTRIC POWER CORP,14,18,3,2,13,60.0,16.666666666666664,5.79829824553933,-2.290368913494461,20.674486803519063,-11.894380832076932
