Unnamed: 0,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
62,277810,KR7277810008,레인보우로보틱스,KOSDAQ,기술성장기업부,702000,1,2000,0.29,717000,723000,690000,164442,115940049000,13618700316000,19399858,KSQ
63,030200,KR7030200000,KT,KOSPI,,52800,1,900,1.73,52800,54100,52600,550164,29314265453,13306744968000,252021685,STK
64,071050,KR7071050009,한국금융지주,KOSPI,,237500,2,-1000,-0.42,244000,244000,230000,571026,135219107500,13234923100000,55725992,STK
65,010950,KR7010950004,S-Oil,KOSPI,,107400,1,400,0.37,107100,108700,102100,877899,93477579600,12091391860800,112582792,STK
66,0126Z0,KR70126Z0002,삼성에피스홀딩스,KOSPI,,484000,1,13500,2.87,472000,484000,444500,208592,98504339750,12043395716000,24883049,STK
67,259960,KR7259960003,크래프톤,KOSPI,,257500,1,2000,0.78,257500,261000,249500,384769,98613117750,11880275697500,46136993,STK
68,047050,KR7047050000,포스코인터내셔널,KOSPI,,63800,2,-300,-0.47,64600,64700,61900,1021954,64920296950,11223873874400,175922788,STK
69,064400,KR7064400005,LG씨엔에스,KOSPI,,113800,4,26200,29.91,95800,113800,94700,8555366,923274453850,11025620882400,96885948,STK
70,047040,KR7047040001,대우건설,KOSPI,,26200,1,750,2.95,26500,27250,24850,15396361,402042002375,10765780115600,410907638,STK
71,005940,KR7005940002,NH투자증권,KOSPI,,30200,2,-250,-0.82,30700,30900,29350,2206720,66423942625,10761599943800,356344369,STK
72,016360,KR7016360000,삼성증권,KOSPI,,119800,2,-1000,-0.83,123000,123100,117700,590178,70626600150,10698140000000,89300000,STK
73,323410,KR7323410001,카카오뱅크,KOSPI,,22400,1,1000,4.67,21750,22450,21450,3725417,82946672575,10687497788800,477120437,STK
74,028050,KR7028050003,삼성E&A,KOSPI,,52900,1,2100,4.13,53100,53800,49950,2373485,122995881825,10368400000000,196000000,STK
75,443060,KR7443060009,HD현대마린솔루션,KOSPI,,224000,2,-2000,-0.88,230000,231000,220500,1649297,369581026500,10042695040000,44833460,STK
76,003490,KR7003490000,대한항공,KOSPI,,26800,2,-200,-0.74,27650,27800,26400,3964417,106416455025,9868313714800,368220661,STK
77,039490,KR7039490008,키움증권,KOSPI,,370500,2,-500,-0.13,378000,379000,359000,145229,53388719500,9717591078000,26228316,STK
78,005387,KR7005382007,현대차2우B,KOSPI,,272000,1,8500,3.23,268000,276500,264000,670883,181602099750,9510188960000,34963930,STK
79,007660,KR7007660004,이수페타시스,KOSPI,,129200,1,1700,1.33,131400,131900,126600,1209513,156581957700,9484471094800,73409219,STK
80,352820,KR7352820005,하이브,KOSPI,,220000,2,-3500,-1.57,223500,224000,212500,816159,178190170250,9482494780000,43102249,STK
81,353200,KR7353200009,대덕전자,KOSPI,,190900,1,26100,15.84,169900,193500,168700,2337900,432287348750,9433690982500,49416925,STK
82,000880,KR7000880005,한화,KOSPI,,133700,2,-5500,-3.95,142300,142900,132600,293586,39621802900,9426908770300,70507919,STK
83,005830,KR7005830005,DB손해보험,KOSPI,,143100,1,2000,1.42,141100,144000,132500,862160,121036948050,9373099941900,65500349,STK
